id,name,address,rent,utilities,deposits,bedrooms,bathrooms,sqft,lat,lng,overall_di_score,score_tier,affordability_score,accessibility_score,safety_score,commute_score,inclusivity_score,score_breakdown,description,amenities,step_free_entry,elevator,accessible_bathroom,accessible_parking,accepts_international,no_ssn_required,allows_cosigner,anti_discrimination_policy,responsive_comms,neighborhood_safety_score,transit_score,walkability_score
150,2400,2,1,850,37.2296,-80.4139,True,True,36,True,80.75,Silver,80,80,81.25,70,100,Affordability: 80 (35%) | Accessibility: 80 (20%) | Safety: 81.2 (20%) | Commute: 70 (15%) | Inclusivity: 100 (10%),Gym,True,True,True,True,True,True,True,True,True,True,85,90.0,95.0
120,1900,1,1,650,37.2315,-80.415,True,False,32,True,76.0,Bronze,80,55,82.5,70,100,Affordability: 80 (35%) | Accessibility: 55 (20%) | Safety: 82.5 (20%) | Commute: 70 (15%) | Inclusivity: 100 (10%),Kitchen,True,False,True,True,True,True,True,True,True,True,90,85.0,88.0
200,2800,3,2,1200,37.234,-80.418,False,True,34,True,68.75,Needs Improvement,60,80,68.75,70,75,Affordability: 60 (35%) | Accessibility: 80 (20%) | Safety: 68.8 (20%) | Commute: 70 (15%) | Inclusivity: 75 (10%),Fitness Center,True,True,True,True,True,False,True,True,True,True,95,70.0,75.0
100,1600,1,1,500,37.228,-80.412,True,False,30,False,83.4,Silver,100,55,84.5,70,100,Affordability: 100 (35%) | Accessibility: 55 (20%) | Safety: 84.5 (20%) | Commute: 70 (15%) | Inclusivity: 100 (10%),Laundry],False,False,True,True,True,True,True,True,True,True,98,,
140,2200,2,1,750,37.232,-80.416,True,True,36,True,81.5,Silver,80,80,85.0,70,100,Affordability: 80 (35%) | Accessibility: 80 (20%) | Safety: 85.0 (20%) | Commute: 70 (15%) | Inclusivity: 100 (10%),BBQ Area,True,True,True,True,True,True,True,True,True,True,80,80.0,85.0
180,3200,2,2,1000,37.236,-80.42,False,True,32,True,68.4,Needs Improvement,60,80,67.0,70,75,Affordability: 60 (35%) | Accessibility: 80 (20%) | Safety: 67.0 (20%) | Commute: 70 (15%) | Inclusivity: 75 (10%),Fitness Center,True,True,True,True,True,False,True,True,True,True,88,65.0,70.0
110,1800,1,1,600,37.225,-80.41,True,False,34,True,75.25,Bronze,80,55,78.75,70,100,Affordability: 80 (35%) | Accessibility: 55 (20%) | Safety: 78.8 (20%) | Commute: 70 (15%) | Inclusivity: 100 (10%),Composting,True,False,True,True,True,True,True,True,True,True,75,85.0,90.0
160,2600,2,2,900,37.238,-80.422,True,True,36,True,82.1,Silver,80,80,88.0,70,100,Affordability: 80 (35%) | Accessibility: 80 (20%) | Safety: 88.0 (20%) | Commute: 70 (15%) | Inclusivity: 100 (10%),Gym,True,True,True,True,True,True,True,True,True,True,92,75.0,80.0
90,1400,1,1,450,37.227,-80.411,True,False,30,False,83.1,Silver,100,55,83.0,70,100,Affordability: 100 (35%) | Accessibility: 55 (20%) | Safety: 83.0 (20%) | Commute: 70 (15%) | Inclusivity: 100 (10%),Laundry],False,False,True,True,True,True,True,True,True,True,92,,
130,2300,2,1,800,37.233,-80.417,True,True,36,True,81.75,Silver,80,80,86.25,70,100,Affordability: 80 (35%) | Accessibility: 80 (20%) | Safety: 86.2 (20%) | Commute: 70 (15%) | Inclusivity: 100 (10%),BBQ Area,True,True,True,True,True,True,True,True,True,True,85,85.0,88.0
170,2700,2,1,950,37.235,-80.419,False,False,32,False,74.9,Bronze,80,80,64.5,70,75,Affordability: 80 (35%) | Accessibility: 80 (20%) | Safety: 64.5 (20%) | Commute: 70 (15%) | Inclusivity: 75 (10%),High Ceilings,True,True,True,True,True,False,True,True,True,True,78,70.0,75.0
190,3000,3,2,1100,37.237,-80.421,True,True,36,True,75.0,Bronze,60,80,87.5,70,100,Affordability: 60 (35%) | Accessibility: 80 (20%) | Safety: 87.5 (20%) | Commute: 70 (15%) | Inclusivity: 100 (10%),Co-working,True,True,True,True,True,True,True,True,True,True,90,75.0,80.0
100,1700,1,1,550,37.224,-80.409,True,False,34,True,82.5,Silver,100,55,80.0,70,100,Affordability: 100 (35%) | Accessibility: 55 (20%) | Safety: 80.0 (20%) | Commute: 70 (15%) | Inclusivity: 100 (10%),Patio,True,False,True,True,True,True,True,True,True,True,80,85.0,90.0
150,2500,2,1,850,37.239,-80.423,False,True,32,True,75.25,Bronze,80,80,66.25,70,75,Affordability: 80 (35%) | Accessibility: 80 (20%) | Safety: 66.2 (20%) | Commute: 70 (15%) | Inclusivity: 75 (10%),High Ceilings,True,True,True,True,True,False,True,True,True,True,85,70.0,75.0
120,2000,3,2,1000,37.23,-80.414,True,True,36,True,73.9,Bronze,60,80,82.0,70,100,Affordability: 60 (35%) | Accessibility: 80 (20%) | Safety: 82.0 (20%) | Commute: 70 (15%) | Inclusivity: 100 (10%),Family Room,True,True,True,True,True,True,True,True,True,True,88,80.0,85.0
95,1500,1,1,500,37.226,-80.412,True,False,30,False,83.25,Silver,100,55,83.75,70,100,Affordability: 100 (35%) | Accessibility: 55 (20%) | Safety: 83.8 (20%) | Commute: 70 (15%) | Inclusivity: 100 (10%),Study Room,False,False,True,True,True,True,True,True,True,True,95,95.0,
80,1200,1,1,400,37.223,-80.408,True,False,30,False,83.0,Silver,100,55,82.5,70,100,Affordability: 100 (35%) | Accessibility: 55 (20%) | Safety: 82.5 (20%) | Commute: 70 (15%) | Inclusivity: 100 (10%),Laundry],False,False,True,True,True,True,True,True,True,True,90,,
